time,cone_x,cone_y,water_x,water_y,theta,radii
0.07180783130023398,720,637,866.5211181640625,533.9646319963131,36.31476442304213,179.12209558762524
0.14056329282072128,720,637,856.4697265625,531.7299662560897,36.628868075049496,172.3536082375055
0.2110187476193372,720,637,845.7646484375,532.3190847515059,36.968973106108066,163.63019529986016
0.2800299603409589,720,637,837.67919921875,536.7831406318768,37.22831984829962,154.56976687042143
0.3471689718417607,720,637,835.7921142578125,543.1413608327211,37.28525580287192,149.05454662850025
0.41708827737642157,720,637,829.713134765625,543.0450321997871,37.481528313230044,144.4455188451315
0.49244621702682023,720,637,826.54150390625,547.7141604412109,37.58157795234552,139.007385416471
0.5867569531357529,720,637,824.025146484375,547.7142509868888,37.65857368015255,137.0882054661449
0.6602148438125174,720,637,824.505859375,552.5023542380552,37.636560511462754,134.39243573586418
0.7281742437094487,720,637,814.7780151367188,545.6838173692595,37.96063556925131,131.61123570389742
0.7975894088914354,720,637,801.86572265625,546.2609831734192,38.40006555319056,122.21115219440722
0.8627429076254829,720,637,800.5078735351562,560.9267515367479,38.44218389389705,110.76396901928169
0.9221111157346205,720,637,807.9822387695312,563.4706417189811,38.178289704866096,114.66229052359475
0.9811758793648151,720,637,808.7391967773438,565.7827680115709,38.14750698179206,113.78285976711022
1.040716295416644,720,637,805.7728271484375,574.3444191494475,38.24515374768858,106.22005313854751
1.0995774823710922,720,637,802.5074462890625,578.8256202305283,38.35371272357107,100.95413391587908
1.1604481887757552,720,637,807.7503051757812,582.9070845929116,38.16732125385217,103.08326515822617
1.219752058973218,720,637,810.9844360351562,587.5708493766303,38.051334488661986,103.54423466317766
1.2765713974770574,720,637,806.7493286132812,591.0984304158524,38.192629688005965,98.14479153344514
1.3348525829590956,720,637,804.3389282226562,602.3542462253715,38.27140503940253,91.17775533735488
1.3904581435471632,720,637,796.8381958007812,604.2966389195805,38.52852229167864,83.50819217223838
1.4499713520244033,720,637,790.8073120117188,616.9266482433802,38.73626594734986,73.59765543188098
1.5088296581768361,720,637,785.5963745117188,631.3586772387468,38.91676285138288,65.83850599442775
1.5647469855607798,720,637,782.5628051757812,640.2752356114052,39.020801248077845,62.64847771313344
1.6259633882072766,720,637,781.1715698242188,651.5228423384422,39.06585336731942,62.87188484805047
1.6826041169861687,720,637,778.5239868164062,651.9508106132444,39.156648360285885,60.40350793521841
1.7429956499889567,720,637,775.2483520507812,650.190705194363,39.27029084899069,56.80118931722873
1.8032393018216268,720,637,770.221435546875,650.5211447199972,39.4484384384293,52.00974853744275
1.8673432283547737,720,637,763.7457885742188,661.9333460644755,39.681101504091814,50.35241567145654
1.9318238997736967,720,637,765.6419677734375,673.7472120229718,39.60610272516128,58.59647441350673
1.995766181304875,720,637,764.3316040039062,680.6064295239779,39.64927490292215,62.183694079628374
2.0622944627784374,720,637,767.9913940429688,690.5877917564414,39.509435288944495,71.93625878178007
2.1275964828608283,720,637,771.4749145507812,691.0801636121068,39.37687725737138,74.66144201877215
2.192249682311555,720,637,775.1758422851562,688.8621172371954,39.23716936340342,75.72352855091368
2.25395358067686,720,637,773.3804931640625,693.3428769052956,39.29744091192787,77.61441121598371
2.3162813327230296,720,637,776.0023193359375,699.4987633207521,39.19735388368152,83.91874157557244
2.3772519069308893,720,637,781.2649536132812,705.112626175261,39.00271383529205,91.61181357078546
2.4453854353051887,720,637,782.0671997070312,711.0128358400302,38.96849504380207,96.59315270015657
2.5082205285951606,720,637,781.9796752929688,711.4029428157378,38.966634844578046,96.83634673542672
2.5665375640578336,720,637,785.4105224609375,711.7529890562419,38.83922583054539,99.3304878748485
2.6259374609891393,720,637,787.844482421875,705.9283293864917,38.74779445442282,96.71601928897196
2.6876189531165475,720,637,786.8563232421875,700.7198352640276,38.77804802176011,92.3579198744681
2.7488062276537786,720,637,778.5243530273438,690.147096477499,39.071790302187736,79.05513115072128
2.81222356303995,720,637,777.5657348632812,689.1889717126728,39.10134598817948,77.70136806244635
2.877483971537676,720,637,775.7355346679688,684.6051767727944,39.16235752936099,73.29872222824453
2.938768553165201,720,637,780.3350219726562,672.6788661302293,38.991455142319396,70.09490969235736
2.998985957690621,720,637,779.1735229492188,659.4193204200255,39.028478535748704,63.278209095371
3.0598019288569933,720,637,778.6585083007812,641.6020698198924,39.04220406644,58.83875969715871
3.1235060640882417,720,637,775.5580444335938,615.4284692561425,39.14921042256619,59.598886230519156
3.1804601601085736,720,637,768.707275390625,599.8714089003688,39.39422635424261,61.2448442974737
3.2315857534737664,720,637,756.1473388671875,598.2099035029496,39.854579003301936,53.02170964265266
3.283404019679078,720,637,744.532470703125,608.8148171393077,40.28803638473217,37.36638397932491
3.3343791711612507,720,637,731.2174072265625,626.2893306927128,40.79540977485775,15.509631262431737
3.392066271249915,720,637,721.69580078125,646.1529230831462,41.163089752579054,9.308691704835809
3.4531203887162176,720,637,719.804443359375,671.2847709992652,311.2328378660702,34.28532871173543
3.5255248661227276,720,637,716.641357421875,693.2191573754487,311.35233983568037,56.319393959568366
3.6245297090710045,720,637,718.73046875,711.6151865677177,311.26165987871144,74.6259859307068
3.6959383892475657,720,637,730.209716796875,733.7293538472637,40.805776147323364,97.26667575681583
3.7700191733378565,720,637,741.4358520507812,759.1418999417609,40.36731260677663,124.00862661333736
3.8441044386757266,720,637,751.2977905273438,786.2139257307305,39.9875835548346,152.46096983775695
3.9082301312685446,720,637,757.4812622070312,802.6682373628481,39.75098207738141,169.85526158334105
3.970418964639755,720,637,768.7564086914062,824.2610849037109,39.32956584269367,193.5042668981701
