cone_x,cone_y,water_x,water_y,theta,radii,time
773,624,758.2422485351562,650.4719848214442,91.71323423969277,30.307708733668196,1
773,624,751.85546875,644.5755707847527,91.69490587452437,29.50331023632086,2
773,624,746.4002685546875,638.4454992443563,91.63054601140955,30.26909581374118,3
773,624,742.0269775390625,632.3708291483285,91.5263141455877,32.08424692892519,4
773,624,733.9622802734375,631.5388690222096,91.79838245762977,39.7590003343102,5
773,624,732.596923828125,630.5991880940282,91.80894760281251,40.9384641584256,6
773,624,731.197021484375,630.5031164460784,91.85882271779724,42.30578608522787,7
773,624,719.8284912109375,636.9223321679477,92.59119662062898,54.719247213061394,8
773,624,711.7178955078125,653.9762649743946,93.66696041067729,68.22076511449062,9
773,624,705.4949340820312,657.1056528376012,94.0541288233581,75.18589079337343,10
773,624,696.7733154296875,669.5468398653263,94.94641335093175,88.79764671600029,11
773,624,690.2443237304688,693.0459494866218,96.20403042996337,107.77683004865465,12
773,624,689.0413208007812,713.0143675657566,97.06756379155466,122.3626472662673,13
773,624,690.7332763671875,736.9682696746032,97.94281805249494,139.74850185440783,14
773,624,698.5311279296875,761.6586301731973,98.56347980694974,156.5104193610945,15
773,624,709.7371826171875,780.9927191745489,98.82459084167431,169.25985329377392,16
773,624,721.6663818359375,798.86029648988,98.9942775148021,182.23957759592872,17
773,624,736.5354614257812,814.1503180579043,98.95336212237657,193.615097631752,18
773,624,744.8401489257812,820.0721893670598,98.84032200993651,198.08402423142135,19
773,624,769.1917114257812,824.3423835783794,98.0701477661913,200.37857599985844,20
773,624,791.4182739257812,821.8972073583099,7.170296874272261,198.75245280152646,21
773,624,816.157470703125,818.3581227758327,6.165128357081506,199.09205701493158,22
773,624,827.5338134765625,808.6383927858635,5.426333553215204,192.52343468482823,23
773,624,849.4285888671875,794.520882820175,4.175026738227952,186.86546142613253,24
773,624,859.8499755859375,778.5176607677573,3.246026987479125,177.2529992649424,25
773,624,868.870849609375,756.3513206056384,2.1275300930489345,163.4261052307124,26
773,624,877.156494140625,736.3752505712152,1.101537176834571,153.22131774857394,27
773,624,875.0155029296875,715.8732489193544,0.37549092673438433,137.28749653553575,28
773,624,878.3359375,694.9455697858516,0.5607197298856577,126.999738587302,29
773,624,879.6409912109375,671.4469906035727,1.5568179515829486,116.71982660965,30
773,624,881.65185546875,652.946576988355,2.388565293910141,112.44167384090696,31
773,624,879.2977294921875,629.4067516399542,3.3166910039941544,106.43514578601571,32
773,624,879.568115234375,617.8144070292842,273.8275564798872,106.74748121153209,33
773,624,876.126708984375,595.6402624355304,274.7019408585859,106.9550972168861,34
773,624,866.8355712890625,573.1283875255864,275.44040619991347,106.73816278581735,35
773,624,856.86572265625,549.3905046918894,276.24552654838885,112.24988297003262,36
773,624,844.5382080078125,532.7091079946223,276.6695256678645,115.98164582427077,37
773,624,831.0107421875,521.2614693818331,276.8135259082879,117.98496464687615,38
773,624,815.1358032226562,511.43598316518575,276.80685483911196,120.19186245002926,39
773,624,800.4119262695312,505.90763414536104,276.6167067991417,121.23209383225266,40
773,624,783.1060180664062,503.65507310674985,276.16489235811713,120.76851009307126,41
773,624,760.4913940429688,507.9018983967148,185.17462991064204,116.77000650370374,42
773,624,739.4970703125,517.2606131239153,183.94013861592703,111.87378159483148,43
773,624,719.0211181640625,527.5146561325207,182.64612864242412,110.55831612992225,44
773,624,695.3953247070312,542.2674660943941,180.96499956651988,112.70622310217895,45
773,624,671.888427734375,563.5664153954764,181.07723094469458,117.79545065145267,46
773,624,655.9978637695312,588.7130390983043,182.99378462940385,122.20748541791934,47
773,624,642.3771362304688,616.7286902423455,184.92101287969314,130.82509119028077,48
773,624,626.679443359375,645.4737468621329,96.93439176451727,147.8878869276362,49
773,624,612.4896240234375,670.8758492125703,98.6928410556108,167.21520874471042,50
773,624,602.7086791992188,699.5872865328743,100.34241974247267,186.313101593735,51
773,624,597.3076782226562,732.1705657323125,101.88028413949061,206.3217468478838,52
773,624,591.6220092773438,757.727779483096,103.10582561233933,225.3466097461143,53
773,624,586.428466796875,781.6517460021638,104.20919353723092,244.26012777220834,54
773,624,589.32080078125,804.0531279168667,104.84889562650278,257.21037517621414,55
773,624,595.2694091796875,826.120246348887,105.31296526658518,269.1482061940449,56
773,624,609.368896484375,855.731776672232,105.63321734353434,283.6807260943372,57
773,624,614.2523803710938,874.8135289393732,106.0132852113446,296.83031017210106,58
773,624,625.9810180664062,895.9041356827893,106.14543740716462,309.1058719115427,59
773,624,640.2606201171875,912.3297819309645,106.02733204027348,317.4174004682654,60
773,624,652.2435913085938,930.3956817538456,106.05603629632208,329.33330235105245,61
773,624,668.2738647460938,944.365579035791,105.80311389786576,337.04846481798006,62
773,624,681.8211669921875,950.5134628923598,105.43540251252995,339.0053407228668,63
773,624,697.7987670898438,951.1024765434177,104.82147427078597,335.63559941109446,64
773,624,710.0880737304688,952.1295788615548,104.37280472157966,334.1061672444917,65
773,624,723.4332885742188,955.5378885163334,103.95879332042759,335.22265795055586,66
773,624,741.1307983398438,950.5302715613143,103.14435706087396,328.08179507610805,67
773,624,757.903076171875,939.4289907323666,102.192441156543,315.79006523877797,68
773,624,778.0200805664062,931.1198513419007,11.206714490254496,307.1608768986773,69
773,624,793.7891845703125,920.7908544072019,10.32424071396717,297.51806912329783,70
773,624,811.3740844726562,908.4783941088816,9.319524155417794,287.054919961116,71
773,624,828.93701171875,894.5895294967357,8.269441769470959,276.3107720543816,72
773,624,845.7003173828125,878.9766161346861,7.193327772987118,265.1384749957213,73
773,624,863.392578125,859.1585596864717,5.947155124958551,251.93325777653908,74
773,624,879.2099609375,838.971283528323,4.746403131577811,239.7774145831086,75
773,624,893.754638671875,817.1107780804516,3.522948991418177,227.75744855352704,76
773,624,905.455810546875,791.4273822062966,2.243562502303583,213.48646341181203,77
773,624,913.5445556640625,766.8672226011882,1.0994804097569506,200.40912010331826,78
