cone_x,cone_y,water_x,water_y,theta,radii,time
719,635,848.1658935546875,496.1767227630497,281.12239316887286,189.61996298013565,1
719,635,837.8885498046875,489.7854773114125,281.1417057266384,187.67457173079137,2
719,635,822.2575073242188,491.4338605716366,280.584762073131,176.84272450167512,3
719,635,818.5857543945312,495.8671559837724,280.2441732007409,171.10017756382317,4
719,635,813.8170776367188,500.5984818915944,279.8533372078669,164.48114263164524,5
719,635,814.0516357421875,511.22875979042794,279.32097127996303,156.05810892190473,6
719,635,812.4616088867188,517.4925985313281,278.95515440317956,150.1434705060917,7
719,635,814.9566650390625,524.3983914173876,278.6900336825379,146.4253987069191,8
719,635,811.64453125,523.4029607629316,278.6333673677086,145.04105741827732,9
719,635,803.7543334960938,518.3493259267818,278.63163064584677,144.18972504344148,10
719,635,800.84716796875,528.9398353806071,278.0062312649028,133.9690912994393,11
719,635,797.51025390625,538.2370409247153,277.4347270787891,124.6071033987592,12
719,635,794.0740966796875,533.1669137838423,277.571328022668,126.51520636104762,13
719,635,793.909912109375,535.291350102524,277.4603119145437,124.7129095026322,14
719,635,795.5056762695312,549.5893214302816,276.81066165540113,114.66517568642219,15
719,635,794.6316528320312,556.8310456619797,276.4295033551283,108.76825057159097,16
719,635,802.8287963867188,565.0507312775292,276.31118184354045,109.17951867660156,17
719,635,804.7935791015625,567.3374579606926,276.2681724578929,109.26462286704283,18
719,635,807.4866333007812,577.2399023362398,275.89055081734125,105.6698308649827,19
719,635,809.1605224609375,592.3729085215055,275.24277558900775,99.72957805157485,20
719,635,797.8121337890625,593.4700104658847,274.80548899775664,89.08474876817476,21
719,635,785.135009765625,598.8676060037183,274.11516266702824,75.3617237900106,22
719,635,774.1908569335938,605.6080925960453,273.41584028127124,62.52931240551957,23
719,635,764.8466796875,614.2962768921776,272.67988166720784,50.3046935076003,24
719,635,762.2734985351562,624.2137532116967,272.13650479093417,44.59752005717754,25
719,635,764.0911254882812,627.4968542804932,272.05604141718743,45.71112330153439,26
719,635,766.6480102539062,630.9406172793367,271.99610707105717,47.820617616559225,27
719,635,765.0842895507812,633.1852084911706,271.8387891878493,46.12000879901006,28
719,635,761.9617309570312,646.4906280168699,1.1368881818732137,44.47184344106294,29
719,635,758.1736450195312,653.918501440905,0.6725127323721795,43.50269142117264,30
719,635,753.87744140625,659.103673973651,0.28729904067395745,42.396025970301295,31
719,635,758.7179565429688,666.8865655936384,0.1356696852901103,50.93396840328226,32
719,635,763.2830200195312,670.0478354300449,0.17173871189197898,56.4742120828765,33
719,635,767.6394653320312,669.7880113787573,0.3443563194265743,59.79969333930083,34
719,635,767.7606811523438,674.6835460271607,0.1420384188666235,62.8680193081531,35
719,635,776.4686889648438,682.7756861904747,0.1237307933104149,74.73397087207846,36
719,635,780.0140991210938,688.9139516823675,0.001158112087624854,81.42133920273794,37
719,635,783.58349609375,694.9389666561176,0.11893877077240911,88.1119043687889,38
719,635,783.682373046875,696.9182430397325,0.19625568334542584,89.5414887306576,39
719,635,782.9829711914062,694.2140388617229,0.11105968239865904,87.17868432591736,40
719,635,784.4869995117188,687.9062330044987,0.20291753923348158,84.18798367804139,41
719,635,780.0946655273438,681.8054067194212,0.2964414222617301,76.96300574996043,42
